,2,3,4,5,6,7,8,9,10,11
20,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.HIT,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.STAND
19,Move.STAND,Move.STAND,Move.HIT,Move.STAND,Move.STAND,Move.STAND,Move.STAND,Move.HIT,Move.STAND,Move.STAND
18,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND
17,Move.STAND,Move.STAND,Move.HIT,Move.DOUBLE,Move.STAND,Move.STAND,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE
16,Move.STAND,Move.STAND,Move.HIT,Move.STAND,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.STAND
15,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE
14,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.HIT
13,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE
12,Move.DOUBLE,Move.STAND,Move.STAND,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.DOUBLE,Move.DOUBLE
11,Move.HIT,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.HIT
10,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE
9,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT
8,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.DOUBLE,Move.HIT,Move.STAND,Move.HIT,Move.HIT
7,Move.HIT,Move.STAND,Move.HIT,Move.HIT,Move.DOUBLE,Move.STAND,Move.STAND,Move.STAND,Move.HIT,Move.HIT
6,Move.DOUBLE,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.HIT,Move.DOUBLE,Move.HIT,Move.STAND,Move.HIT,Move.HIT
5,Move.DOUBLE,Move.DOUBLE,Move.STAND,Move.STAND,Move.STAND,Move.HIT,Move.DOUBLE,Move.STAND,Move.DOUBLE,Move.STAND
