games,splits,score,wins,loses,draws
50,2,-45,11,30,11
100,2,-150,21,58,23
150,8,-85,42,80,36
200,10,-265,54,113,43
250,15,-530,62,149,54
300,16,-555,76,173,67
350,17,-755,88,205,74
400,20,-790,102,230,88
450,20,-980,111,261,98
500,21,-1100,123,288,110
550,23,-1225,135,314,124
600,24,-1280,150,339,135
650,28,-1235,167,359,152
700,32,-1325,176,386,170
750,34,-1510,186,416,182
800,34,-1460,199,436,199
850,36,-1495,214,459,213
900,37,-1620,227,486,224
950,40,-1735,237,512,241
1000,43,-1895,252,546,245
1050,45,-2000,266,572,257
1100,47,-2055,282,598,267
1150,49,-2195,296,629,274
1200,49,-2285,311,656,282
1250,49,-2295,325,677,297
1300,49,-2390,335,701,313
1350,50,-2415,350,726,324
1400,51,-2620,358,759,334
1450,52,-2850,367,791,344
1500,54,-2880,382,812,360
1550,58,-3040,392,841,375
1600,58,-3015,410,861,387
1650,61,-3080,428,887,396
1700,64,-3275,441,921,402
1750,64,-3365,454,949,411
1800,65,-3475,469,978,418
1850,65,-3565,482,1003,430
1900,65,-3590,496,1024,445
1950,65,-3685,507,1049,459
2000,68,-3860,520,1081,467
2050,68,-3850,536,1102,480
2100,68,-3835,552,1124,492
2150,68,-4005,562,1154,502
2200,70,-4155,576,1186,508
2250,70,-4210,595,1212,513
2300,73,-4490,605,1250,518
2350,73,-4515,620,1272,531
2400,74,-4680,629,1299,546
2450,75,-4775,639,1326,560
2500,78,-4935,653,1356,569
2550,80,-5115,662,1386,582
2600,80,-5290,674,1417,589
2650,81,-5340,690,1441,600
2700,82,-5360,699,1464,619
2750,84,-5450,712,1489,633
2800,85,-5680,721,1521,643
2850,88,-5755,737,1549,652
2900,89,-5845,753,1577,659
2950,90,-5890,771,1601,668
3000,92,-6115,780,1634,678
3050,93,-6115,797,1657,689
3100,96,-6235,811,1686,699
3150,97,-6215,826,1708,713
3200,100,-6185,847,1729,724
3250,100,-6340,856,1758,736
3300,100,-6395,871,1783,746
3350,103,-6625,883,1818,752
3400,105,-6765,896,1848,761
3450,107,-6955,909,1880,768
3500,109,-7045,923,1909,777
3550,109,-7030,938,1930,791
3600,109,-7145,948,1956,805
3650,115,-7210,957,1982,826
3700,115,-7275,969,2005,841
3750,118,-7360,982,2034,852
3800,118,-7405,999,2057,862
3850,122,-7585,1008,2090,874
3900,128,-7700,1020,2121,887
3950,128,-7795,1034,2149,895
4000,132,-7840,1047,2174,911
4050,133,-7940,1059,2202,922
4100,138,-8120,1067,2231,940
4150,140,-8215,1082,2260,948
4200,140,-8225,1096,2284,960
4250,140,-8280,1112,2310,968
4300,140,-8475,1121,2340,979
4350,144,-8650,1131,2372,991
4400,144,-8765,1140,2400,1004
4450,144,-8835,1156,2426,1012
4500,145,-8780,1177,2446,1022
4550,147,-8890,1191,2471,1035
4600,148,-8935,1205,2494,1049
4650,150,-9140,1216,2527,1057
4700,152,-9275,1230,2556,1066
4750,152,-9360,1240,2582,1080
